# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8429369715882291,4.437570303712036,-0.0031861051793936634,0,3.0,-0.008497412812815368,0.0,0.0,0.0
 0.0898485484636088,1.855046114061033,4.4375696303465295,-0.0031861051793936634,0.26954564539082637,2.9999999999999996,-0.008497412812815368,0.0,-0.15742814780632075,0.0
 0.12763322241622405,1.867372330609384,4.437567665218622,-0.009134476415219613,0.38289966724867214,3.000000000000001,-0.007534955831203638,0.0,-0.18274598386703603,0.0
 0.15700707822065413,1.8799138049281907,4.437564490781233,-0.014502430594168635,0.4710212346619624,3.0,-0.006650054895228289,0.0,-0.19217909380061438,0.0
 0.1820837727100848,1.8926687207123627,4.437560189487281,-0.019321647016662283,0.5462513181302544,3.0,-0.005834988881236562,0.0,-0.19225613585911833,0.0
 0.2044476990542812,1.9056352616568093,4.4375548437896875,-0.02362124907823542,0.6133430971628436,3.0000000000000013,-0.005082929079470967,0.0,-0.186068346908553,0.0
 0.22490686039970895,1.918811611456439,4.437548536141369,-0.02742805140891453,0.6747205811991269,3.0000000000000027,-0.0043878215537595695,0.0,-0.17543035353089934,0.0
 0.24393850053061364,1.9321959538061615,4.437541348995246,-0.030766778765351988,0.7318155015918411,3.000000000000003,-0.0037442839955952123,0.0,-0.16152745147124778,0.0
 0.2618517506805408,1.9457864724008855,4.437533364804238,-0.03366026040963667,0.7855552520416225,2.9999999999999987,-0.0031475273964764266,0.0,-0.14518457928864012,0.0
 0.2788600488643873,1.9595813509355204,4.437524666021264,-0.03612960302587417,0.836580146593162,3.0,-0.0025932747786307103,0.0,-0.1270000988838086,0.0
 0.29511784714867534,1.973578773104975,4.437515335099241,-0.03819434501561176,0.8853535414460262,3.0000000000000036,-0.0020776997779722115,0.0,-0.10742054261936124,0.0
 0.31074101595560755,1.9877769226041588,4.437505454491092,-0.0398725942862863,0.9322230478668229,3.0000000000000036,-0.0015973768376253718,0.0,-0.08678596313737273,0.0
 0.3258190016335703,2.0021739831279803,4.437495106649733,-0.04118115179551981,0.9774570049007112,3.0000000000000036,-0.0011492168610547648,0.0,-0.06535914237137139,0.0
 0.34042247470657905,2.016768138371349,4.4374843740280845,-0.042135622271215076,1.0212674241197373,2.9999999999999885,-0.0007304691337090439,0.0,-0.04334532012208222,0.0
 0.35460835645600686,2.031557572029174,4.437473339079067,-0.042750513856858026,1.0638250693680207,3.0,-0.0003386179714718587,0.0,-0.02090599536077358,0.0
 0.3684232436542009,2.0465404677963646,4.437462084255597,-0.04303932782453308,1.105269730962603,3.000000000000004,0.000028595502602248025,0.0,0.0018311296610917926,0.0
 0.3819058134713638,2.061715009367829,4.437450692010596,-0.04301463949103313,1.1457174404140917,3.0000000000000084,0.00037316495548154354,0.0,0.02476480655937821,0.0
 0.39508855621649647,2.077079380438478,4.43743924479698,-0.042688171417027874,1.1852656686494898,3.0000000000000084,0.0006969762946903115,0.0,0.047814726647689126,0.0
 0.4079990517449811,2.092631764703219,4.437427825067673,-0.04207085960244717,1.2239971552349436,2.9999999999999956,0.0010017039634996252,0.0,0.07091729434893569,0.0
 0.4206609280284009,2.1083703458569616,4.437416515275591,-0.04117291359504608,1.2619827840852031,3.0000000000000133,0.0012888611810764517,0.0,0.0940223662289923,0.0
 0.4330945933421539,2.1242933075946158,4.437405397873653,-0.04000387096134768,1.299283780026462,2.999999999999991,0.0015598342074123219,0.0,0.11709067822429588,0.0
 0.4453178040003148,2.1403988336110893,4.437394555314779,-0.038572646935305176,1.3359534120009449,3.000000000000009,0.0018158915227011697,0.0,0.14009182110563367,0.0
 0.45734611051511403,2.1566851076012923,4.4373840700518885,-0.03688757957083019,1.3720383315453426,3.0,0.002058178028909937,0.0,0.16300261788720358,0.0
 0.46919321246028767,2.173150313260133,4.437374024537901,-0.03495647093939031,1.4075796373808636,3.000000000000005,0.0022877552463505487,0.0,0.18580581851028996,0.0
 0.48087124380328633,2.1897926342825214,4.4373645012257334,-0.03278662476711562,1.4426137314098595,2.999999999999995,0.0025055827472430818,0.0,0.20848904826821893,0.0
 0.49239100460310253,2.2066102543633663,4.4373555825683075,-0.030384880801684406,1.4771730138093082,3.0000000000000098,0.0027125482741441375,0.0,0.23104394202998177,0.0
 0.5037621508537713,2.2236013571975763,4.437347351018542,-0.027757646346530447,1.5112864525613143,2.9999999999999853,0.0029094586189399507,0.0,0.2534654464183891,0.0
 0.5149933513188077,2.240764126480062,4.437339889029356,-0.024910925106845564,1.5449800539564238,3.0000000000000098,0.0030970636302218822,0.0,0.27575124068536466,0.0
 0.5260924180787537,2.25809674590573,4.437333279053667,-0.021850343677340768,1.5782772542362618,3.0,0.003276047909530039,0.0,0.2979012595008282,0.0
 0.5370664159573924,2.2755973991694916,4.437327603544396,-0.01858117588753491,1.6111992478721775,2.99999999999999,0.003447042521251844,0.0,0.31991730054448414,0.0
 0.5479217548366765,2.2932642699662544,4.437322944954461,-0.01510836517677874,1.64376526451003,3.00000000000001,0.0036106316018875225,0.0,0.3418026967447199,0.0
 0.5586642680029148,2.3110955419909294,4.437319385736783,-0.011436545206742825,1.6759928040087448,2.99999999999999,0.003767350916952221,0.0,0.3635620461142121,0.0
 0.5692992790084997,2.3290893989384234,4.437317008344279,-0.007570058845105197,1.7078978370254996,2.9999999999999893,0.003917699825600485,0.0,0.38520098793885854,0.0
